name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
Intel Pentium G640T,89,2,2.4,,Sandy Bridge,35,Intel HD Graphics
AMD A4-5300,,2,3.4,,Piledriver,65,Radeon HD 7480D
AMD A8-6500,,4,3.5,,Piledriver,65,Radeon HD 8570D
AMD A10-6700,83.22,4,3.7,,Piledriver,65,Radeon HD 8670D
Intel Pentium G4560,,2,3.5,,Kaby Lake,54,Intel HD Graphics 610
Intel Core i5-3570,,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500
AMD Threadripper 2970WX,,24,3,4.2,Zen+,250,
Intel Core i9-9960X,,16,3.1,4.4,Skylake,165,
AMD A10-5700,72.51,4,3.4,,Piledriver,65,Radeon HD 7660D
Intel Core i3-6100,98.95,2,3.7,,Skylake,51,Intel HD Graphics 530
Intel Celeron G4920,73,2,3.2,,Coffee Lake,65,Intel UHD Graphics 610
Intel Core 2 Duo E8600,,2,3.33,,Wolfdale,65,
Intel Core i5-750,,4,2.66,,Nehalem,95,
Intel Core 2 Quad Q9400,,4,2.66,,Yorkfield,95,
AMD Phenom II X4 970 Black,,4,3.5,,K10,125,
AMD Phenom II X4 980 Black,,4,3.7,,K10,125,
Intel Pentium G620,,2,2.6,,Sandy Bridge,65,Intel HD Graphics
AMD Phenom II X6 1045T,,6,2.7,,K10,95,
AMD A4-4000,,2,3,,Piledriver,65,Radeon HD 7480D
AMD Athlon X4 750K,,4,3.4,,Piledriver,100,
Intel Pentium G3420,71.73,2,3.2,,Haswell,54,Intel HD Graphics
Intel Core i3-4160T,,2,3.1,,Haswell Refresh,35,Intel HD Graphics 4400
Intel Xeon E5-2660 V3,,10,2.6,3.3,Haswell,105,
AMD FX-8310,,8,3.4,4.3,Piledriver,95,
Intel Xeon E3-1230 V5,,4,3.4,3.8,Skylake,80,
Intel Core i7-7820X,495.03,8,3.6,4.5,Skylake,140,
Intel Core i9-7920X,,12,2.9,4.4,Skylake,140,
Intel Core i5-3570S,,4,3.1,3.8,Ivy Bridge,65,Intel HD Graphics 2500
Intel Core i5-8600T,,6,2.3,3.7,Coffee Lake,35,Intel UHD Graphics 630
AMD Threadripper 2950X,,16,3.5,4.4,Zen+,180,
Intel Xeon E-2136,732,6,3.3,4.5,Coffee Lake,80,
Intel Celeron G3920,489.95,2,2.6,,Skylake,35,Intel HD Graphics 510
Intel Core i5-8600,269.95,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i3-3245,109,2,3.4,,Ivy Bridge,55,Intel HD Graphics 4000
Intel Xeon E5-2630L V3,391.94,8,1.8,2.9,Haswell,55,
Intel Xeon E3-1230 V6,455.49,4,3.5,3.9,Kaby Lake,72,
AMD A10-9700E,132.71,4,3,3.5,Excavator,35,Radeon R7 (on-die)
Intel Xeon E-2274G,1098.95,4,4,4.9,Coffee Lake Refresh,83,Intel HD Graphics P630
Intel Core 2 Duo E4300,,2,1.8,,Core,65,
Intel Core 2 Duo E4600,,2,2.4,,Core,65,
Intel Core 2 Duo E8400,99.43,2,3,,Wolfdale,65,
Intel Core 2 Duo E8500,,2,3.16,,Wolfdale,65,
Intel Core i7-920,,4,2.66,,Nehalem,130,
Intel Core i7-970,,6,3.2,,Westmere,130,
AMD Phenom II X4 965,,4,3.4,,K10,125,
Intel Pentium G2120,35,2,3.1,,Ivy Bridge,55,Intel HD Graphics
Intel Core i3-3225,,2,3.3,,Ivy Bridge,55,Intel HD Graphics 4000
Intel Core i3-4130T,,2,2.9,,Haswell,35,Intel HD Graphics 4400
Intel Xeon E5-2687W,,8,3.1,3.8,Sandy Bridge,150,
AMD FX-8370E,,8,3.3,4.3,Piledriver,95,
Intel Xeon E3-1265L V3,398.95,4,2.5,3.7,Haswell,45,Intel HD Graphics
Intel Xeon E3-1280 V6,562,4,3.9,4.2,Kaby Lake,72,
Intel Core i3-8300T,,4,3.2,,Coffee Lake,35,Intel UHD Graphics 630
Intel Pentium Gold G5500,,2,3.8,,Coffee Lake,54,Intel UHD Graphics 630
Intel Core i5-3330S,149.94,4,2.7,3.2,Ivy Bridge,65,Intel HD Graphics 2500
Intel Core i5-9400,,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i5-9400T,,6,1.8,3.4,Coffee Lake Refresh,35,Intel UHD Graphics 630
Intel Pentium Gold G6605,,2,4.3,,Comet Lake,58,Intel UHD Graphics 630
Intel Core i9-10900K,,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630
Intel Core i3-4340,92.35,2,3.6,,Haswell,54,Intel HD Graphics 4600
Intel Celeron G3930T,46.07,2,2.7,,Kaby Lake,35,Intel HD Graphics 610
AMD Phenom II X4 925,,4,2.8,,K10,95,
Intel Pentium E6600,,2,3.06,,Wolfdale,65,
Intel Core 2 Duo E6700,103.95,2,2.66,,Core,65,
Intel Core 2 Duo E7200,169.95,2,2.53,,Wolfdale,65,
Intel Core 2 Quad Q6700,,4,2.66,,Core,100,
Intel Core 2 Quad Q8300,,4,2.5,,Yorkfield,95,
Intel Core 2 Extreme QX9650,,4,3,,Yorkfield,130,
AMD FX-8100,,8,2.8,,Bulldozer,95,
AMD FX-4100,,4,3.6,,Bulldozer,95,
Intel Core i5-2550K,,4,3.4,,Sandy Bridge,95,
AMD FX-6200,,6,3.8,,Bulldozer,125,
Intel Celeron G1840,,2,2.8,,Haswell Refresh,53,Intel HD Graphics
Intel Core i3-4370,,2,3.8,,Haswell Refresh,54,Intel HD Graphics 4600
Intel Xeon E3-1276 V3,,4,3.6,4,Haswell Refresh,84,Intel HD Graphics P4600
Intel Xeon E3-1246 V3,,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics P4600
Intel Xeon E5-1620,,4,3.6,3.8,Sandy Bridge,130,
Intel Xeon E5-1650 V3,,6,3.5,3.8,Haswell,140,
Intel Xeon E5-2643 V3,229.95,6,3.4,3.7,Haswell,135,
Intel Core i7-4770T,,4,2.5,,Haswell,45,Intel HD Graphics 4600
Intel Core i3-6100T,,2,3.2,,Skylake,35,Intel HD Graphics 530
AMD Opteron 6320,269,8,2.8,3.3,Piledriver,115,
Intel Xeon E5-2603 V4,449.95,6,1.7,,Broadwell,85,
Intel Core i3-7300,,2,4,,Kaby Lake,51,Intel HD Graphics 630
Intel Xeon E5-2643 V4,929.95,6,3.4,3.7,Broadwell,135,
AMD Athlon X4 970,,4,3.8,4,Excavator,65,
AMD Ryzen 7 1800X,,8,3.6,4,Zen,95,
AMD Threadripper 2920X,,12,3.5,4.3,Zen+,180,
Intel Core i9-9920X,,12,3.5,4.4,Skylake,165,
Intel Core i3-10325,,4,3.9,4.7,Comet Lake,65,Intel UHD Graphics 630
AMD EPYC 4484PX,,12,4.4,5.6,Zen 4,120,Radeon
Intel Pentium Gold G5600,229.69,2,3.9,,Coffee Lake,54,Intel UHD Graphics 630
Intel Celeron G5920,,2,3.5,,Comet Lake,58,Intel UHD Graphics 610
Intel Xeon E5-1660 V2,,6,3.7,4,Ivy Bridge,130,
Intel Core i7-6900K,289.08,8,3.2,3.7,Broadwell,140,
Intel Core i5-7500T,199.95,4,2.7,3.3,Kaby Lake,35,Intel HD Graphics 630
AMD Phenom II X2 555 Black,,2,3.2,,K10,80,
Intel Pentium E2140,,2,1.6,,Core,65,
Intel Pentium E5200,,2,2.5,,Wolfdale,65,
Intel Core 2 Duo E6320,,2,1.86,,Core,65,
Intel Core 2 Duo E7400,,2,2.8,,Wolfdale,65,
Intel Pentium G6950,37.93,2,2.8,,Westmere,73,Intel HD Graphics
Intel Pentium E5500,,2,2.8,,Wolfdale,65,
AMD Phenom II X4 840,,4,3.2,,K10,95,
AMD A8-3850,,4,2.9,,Lynx,100,Radeon HD 6550D
Intel Core i5-2405S,,4,2.5,,Sandy Bridge,65,Intel HD Graphics 3000
AMD A8-3870K,,4,3,,Lynx,100,Radeon HD 6550D
AMD A4-3300,89.95,2,2.5,,Lynx,65,Radeon HD 6410D
AMD Athlon X4 760K,,4,3.8,4.1,Piledriver,100,
Intel Xeon E3-1225 V3,,4,3.2,3.6,Haswell,84,Intel HD Graphics P4600
Intel Xeon E3-1275 V3,,4,3.5,3.9,Haswell,84,Intel HD Graphics P4600
Intel Celeron G1820,,2,2.7,,Haswell,53,Intel HD Graphics
Intel Xeon E5-2690,,8,2.9,3.8,Sandy Bridge,135,
Intel Xeon E5-2640 V2,,8,2,2.5,Ivy Bridge,95,
Intel Xeon E5-2660 V2,,10,2.2,3,Ivy Bridge,95,
Intel Core i3-4360,,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4600
AMD Sempron 150,,1,2.9,,K10,45,
Intel Core i7-5960X,,8,3,3.5,Haswell,140,
Intel Xeon E5-1630 V3,,4,3.7,3.8,Haswell,140,
Intel Xeon E5-2697 V3,,14,2.6,3.6,Haswell,145,
Intel Xeon E5-2695 V3,498.95,14,2.3,3.3,Haswell,120,
Intel Xeon E5-2670 V3,,12,2.3,3.1,Haswell,120,
Intel Core i7-3770T,,4,2.5,3.7,Ivy Bridge,45,Intel HD Graphics 4000
Intel Core i5-4570S,,4,2.9,,Haswell,65,Intel HD Graphics 4600
Intel Pentium G3470,153.1,2,3.6,,Haswell Refresh,53,Intel HD Graphics
Intel Xeon E3-1270 V5,,4,3.6,4,Skylake,80,
Intel Xeon E3-1220 V5,349.95,4,3,3.5,Skylake,80,
Intel Xeon E3-1260L V5,,4,2.9,3.9,Skylake,45,
Intel Xeon E3-1225 V5,,4,3.3,3.7,Skylake,80,Intel HD Graphics P530
Intel Xeon E3-1235L V5,,4,2,3,Skylake,25,Intel HD Graphics P530
Intel Xeon E5-1650 V4,,6,3.6,4,Broadwell,140,
Intel Xeon E3-1270 V6,719.95,4,3.8,4.2,Kaby Lake,72,
Intel Core i9-7960X,,16,2.8,4.4,Skylake,165,
Intel Core i3-8350K,,4,4,,Coffee Lake,91,Intel UHD Graphics 630
Intel Core i9-9920X,,12,3.5,4.4,Skylake,165,
Intel Core i9-9820X,,10,3.3,4.1,Skylake,165,
Intel Core i5-9500F,,6,3,4.4,Coffee Lake Refresh,65,
Intel Xeon E-2174G,649.95,4,3.8,4.7,Coffee Lake,71,Intel HD Graphics P630
Intel Xeon E-2246G,,6,3.6,4.8,Coffee Lake Refresh,80,Intel HD Graphics P630
AMD Phenom II X4 830,55.05,4,2.8,,K10,95,
AMD Phenom II X4 975,168.02,4,3.6,,K10,125,
Intel Pentium G870,67.64,2,3.1,,Sandy Bridge,65,Intel HD Graphics
AMD A4-6300B,49.95,2,3.7,3.9,Piledriver,65,Radeon HD 8370D
Intel Core i3-6300T,119.99,2,3.3,,Skylake,35,Intel HD Graphics 530
AMD Athlon II X2 250u,,2,1.6,,K10,25,
AMD Phenom II X4 905e,,4,2.5,,K10,65,
Intel Pentium E2220,,2,2.4,,Core,65,
Intel Pentium E5400,,2,2.7,,Wolfdale,65,
Intel Core 2 Duo E6320,89.95,2,1.86,,Core,65,
Intel Core 2 Duo E6550,95.91,2,2.33,,Core,65,
Intel Core i5-680,,2,3.6,,Westmere,73,Intel HD Graphics
Intel Core i7-930,,4,2.8,,Nehalem,130,
Intel Core i7-965 Extreme Edition,,4,3.2,,Nehalem,130,
Intel Core i7-975 Extreme Edition,,4,3.33,,Nehalem,130,
Intel Core 2 Extreme QX6700,,4,2.66,,Core,100,
Intel Pentium G850,,2,2.9,,Sandy Bridge,65,Intel HD Graphics
AMD Athlon II X4 631,,4,2.6,,Lynx,100,
Intel Core i3-3220T,,2,2.8,,Ivy Bridge,35,Intel HD Graphics 2500
AMD FX-8300,,8,3.3,,Piledriver,95,
Intel Xeon E3-1225,,4,3.1,,Sandy Bridge,95,Intel HD Graphics
Intel Xeon E3-1275,376.99,4,3.4,,Sandy Bridge,95,Intel HD Graphics
Intel Xeon E3-1225 V2,214.5,4,3.2,,Ivy Bridge,77,Intel HD Graphics P4000
AMD FX-4130,,4,3.8,,Bulldozer,125,
AMD FX-9370,,8,4.4,4.7,Piledriver,220,
AMD 5150,,4,1.6,,Jaguar,25,Radeon HD 8400
Intel Core i3-4350,,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4600
Intel Celeron G470,,1,2,,Sandy Bridge,35,Intel HD Graphics
AMD E2-3200,,2,2.4,,Lynx,65,Radeon HD 6370D
Intel Xeon E5-2630L V2,,6,2.4,,Ivy Bridge,60,
Intel Xeon E5-2687W V3,,10,3.1,3.5,Haswell,160,
Intel Xeon E5-2680 V3,,12,2.5,3.3,Haswell,120,
Intel Xeon E5-2609,,4,2.4,,Sandy Bridge,80,
Intel Core i3-6320,,2,3.9,,Skylake,51,Intel HD Graphics 530
Intel Core i3-6320,,2,3.9,,Skylake,51,Intel HD Graphics 530
Intel Pentium G4500,,2,3.5,,Skylake,51,Intel HD Graphics 530
Intel Xeon E3-1275 V5,,4,3.6,4,Skylake,80,Intel HD Graphics P530
AMD Opteron 6320,242.39,8,2.8,3.3,Piledriver,115,
Intel Core i7-6850K,,6,3.6,3.8,Broadwell,140,
Intel Core i7-7700T,,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630
Intel Core i9-7900X,,10,3.3,4.5,Skylake,140,
Intel Core i7-7800X,,6,3.5,4,Skylake,140,
Intel Celeron G4900T,,2,1.8,,Coffee Lake,35,Intel UHD Graphics 610
Intel Pentium Gold G5400,,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610
Intel Pentium Gold G5600,,2,3.9,,Coffee Lake,54,Intel UHD Graphics 630
Intel Core i5-9600T,,6,2.3,3.9,Coffee Lake Refresh,35,Intel UHD Graphics 630
Intel Xeon E-2244G,,4,3.8,4.8,Coffee Lake Refresh,71,Intel HD Graphics P630
Intel Xeon E-2276G,,6,3.8,4.9,Coffee Lake Refresh,80,Intel HD Graphics P630
Intel Xeon E-2124G,270.99,4,3.4,4.5,Coffee Lake,71,Intel HD Graphics P630
Intel Xeon E5-2623 V3,234.94,4,3,3.5,Haswell,105,
Intel Celeron E3400,,2,2.6,,Wolfdale,65,
Intel Core i3-560,89.95,2,3.333,,Westmere,73,Intel HD Graphics
Intel Xeon E5-2640 V3,189.95,8,2.6,3.4,Haswell,90,
AMD Athlon II X2 220,,2,2.8,,K10,65,
AMD Athlon II X3 445,,3,3.1,,K10,95,
AMD Phenom II X2 550 Black,,2,3.1,,K10,80,
Intel Pentium E6500,89.99,2,2.93,,Wolfdale,65,
Intel Core 2 Duo E6750,89.95,2,2.66,,Core,65,
Intel Core 2 Duo E7600,98.95,2,3.06,,Wolfdale,65,
Intel Core 2 Extreme QX6850,,4,3,,Core,130,
AMD Athlon II X4 645,,4,3.1,,K10,95,
Intel Pentium E6700,,2,3.2,,Wolfdale,65,
AMD A6-3650,,4,2.6,,Lynx,100,Radeon HD 6530D
AMD Phenom II X6 1035T,,6,2.6,,K10,95,
Intel Celeron G540,69.98,2,2.5,,Sandy Bridge,65,Intel HD Graphics
AMD A6-3500,,3,2.1,,Lynx,65,Radeon HD 6530D
Intel Core i3-2125,152,2,3.3,,Sandy Bridge,65,Intel HD Graphics 3000
AMD Phenom II X4 970,,4,3.5,,K10,125,
Intel Xeon E3-1245,,4,3.3,,Sandy Bridge,95,Intel HD Graphics
Intel Xeon E3-1270,,4,3.4,,Sandy Bridge,80,
Intel Xeon E3-1265L V2,,4,2.5,,Ivy Bridge,45,Intel HD Graphics 2500
AMD Athlon X4 740,,4,3.2,,Piledriver,65,
AMD FX-9590,,8,4.7,5,Piledriver,220,
Intel Xeon E5-2670,,8,2.6,3.3,Sandy Bridge,115,
Intel Pentium G3258,,2,3.2,,Haswell Refresh,53,Intel HD Graphics
AMD Sempron 145,,1,2.8,,K10,45,
Intel Xeon E3-1226 V3,,4,3.3,3.7,Haswell Refresh,84,Intel HD Graphics P4600
Intel Xeon E5-2630,,6,2.3,,Sandy Bridge,95,
Intel Xeon E5-2643 V2,398.95,6,3.5,3.8,Ivy Bridge,130,
Intel Xeon E5-1620 V3,,4,3.5,3.6,Haswell,140,
AMD Pro A10-7800B,,4,3.5,3.9,Steamroller,65,Radeon R7 (on-die)
Intel Xeon E5-2622 V3,,8,2.4,,Haswell,85,
Intel Xeon E5-2685 V3,,12,2.6,3.3,Haswell,120,
AMD Opteron 6344,,12,2.6,3.2,Piledriver,115,
AMD Opteron 6378,,16,2.4,3.3,Piledriver,115,
AMD Athlon X4 845,,4,3.5,3.8,Puma+,65,
AMD Athlon 5370,,4,2.2,,Jaguar,25,Radeon R3 (on die)
AMD Athlon X4 870K,,4,3.9,4.1,Steamroller,95,
AMD Athlon X4 860K,,4,3.7,4,Steamroller,95,
Intel Core i3-7300T,,2,3.5,,Kaby Lake,35,Intel HD Graphics 630
Intel Core i5-7600T,,4,2.8,3.7,Kaby Lake,35,Intel HD Graphics 630
Intel Core i5-7600T,229.95,4,2.8,3.7,Kaby Lake,35,Intel HD Graphics 630
Intel Core i5-7640X,217.4,4,4,4.2,Kaby Lake,112,
AMD Ryzen 7 1800X,,8,3.6,4,Zen,95,
Intel Xeon E3-1275 V6,504.44,4,3.8,4.2,Kaby Lake,73,Intel HD Graphics P630
Intel Core i7-9800X,,8,3.8,4.5,Skylake,165,
AMD Athlon 240GE,,2,3.5,,Zen,35,Radeon Vega 3
Intel Core i3-9320,,4,3.7,4.4,Coffee Lake Refresh,62,
Intel Core i3-9350K,,4,4,4.6,Coffee Lake Refresh,91,Intel HD Graphics 630
Intel Xeon E-2104G,,4,3.2,,Coffee Lake,65,Intel HD Graphics P630
Intel Celeron G5905T,,2,3.3,,Comet Lake,35,Intel UHD Graphics 610
Intel Core i3-3240T,,2,2.9,,Ivy Bridge,35,Intel HD Graphics 2500
AMD Phenom II X2 B59,,2,3.4,,K10,80,
Intel Xeon E5-2620,77,6,2,,Sandy Bridge,95,
AMD Athlon II X2 215,,2,2.7,,K10,65,
AMD Athlon II X2 260,,2,3.2,,K10,65,
AMD Phenom II X2 550,,2,3.1,,K10,80,
AMD Phenom II X4 945,,4,3,,K10,125,
AMD Athlon II X2 235e,,2,2.7,,K10,45,
AMD Athlon II X2 240e,,2,2.8,,K10,45,
AMD Phenom II X3 705e,,3,2.5,,K10,65,
Intel Celeron E1200,,2,1.6,,Core,65,
Intel Celeron E1400,,2,2,,Core,65,
Intel Pentium E2160,,2,1.8,,Core,65,
Intel Pentium E2180,,2,2,,Core,65,
Intel Pentium E2180,,2,2,,Core,65,
Intel Pentium E2200,,2,2.2,,Core,65,
Intel Celeron E3300,61.79,2,2.5,,Wolfdale,65,
Intel Pentium E6300,,2,2.8,,Wolfdale,65,
Intel Core 2 Duo E6400,89.95,2,2.13,,Core,65,
Intel Core 2 Duo E6420,69.95,2,2.13,,Core,65,
Intel Core 2 Duo E6550,,2,2.33,,Core,65,
Intel Core i5-655K,,2,3.2,,Westmere,73,Intel HD Graphics
Intel Core i5-660,149.94,2,3.33,,Westmere,73,Intel HD Graphics
Intel Core i5-670,109.08,2,3.46,,Westmere,73,Intel HD Graphics
Intel Core 2 Extreme QX6700,,4,2.66,,Core,100,
Intel Core 2 Extreme QX6800,,4,2.93,,Core,100,
Intel Core 2 Extreme X6800,,2,2.93,,Core,75,
AMD Athlon II X3 450,,3,3.2,,K10,95,
AMD Athlon II X3 455,,3,3.3,,K10,95,
AMD Sempron 145,,1,2.8,,K10,45,
Intel Pentium E6800,,2,3.333,,Wolfdale,65,
AMD Phenom II X3 720 Black,,3,2.8,,K10,95,
Intel Pentium G840,,2,2.8,,Sandy Bridge,65,Intel HD Graphics
AMD Phenom II X4 960T Black,,4,3,,K10,95,
AMD A4-3400,,2,2.7,,Lynx,65,Radeon HD 6410D
AMD A10-5700,,4,3.4,,Piledriver,65,Radeon HD 7660D
Intel Xeon E3-1240,,4,3.3,,Sandy Bridge,80,
Intel Celeron G1620,,2,2.7,,Ivy Bridge,55,Intel HD Graphics
AMD FX-9370,,8,4.4,4.7,Piledriver,220,
Intel Xeon E5-1660,,6,3.3,3.9,Sandy Bridge,130,
Intel Xeon E5-2665,149.94,8,2.4,3.1,Sandy Bridge,115,
Intel Xeon E5-2620 V2,,6,2.1,2.6,Ivy Bridge,80,
AMD FX-4130,,4,3.8,,Bulldozer,125,
AMD 5350,,4,2.05,,Jaguar,25,Radeon HD 8400
Intel Pentium G3450,,2,3.4,,Haswell Refresh,53,Intel HD Graphics
AMD A6-7400K,,2,3.5,3.9,Steamroller,65,Radeon R5 (on die)
AMD Athlon II X4 651,,4,3,,Lynx,100,
Intel Xeon E3-1230 V3,,4,3.3,3.7,Haswell,80,
Intel Xeon E5-2690,,8,2.9,3.8,Sandy Bridge,135,
Intel Xeon E5-2637 V2,,4,3.5,3.8,Ivy Bridge,130,
AMD Pro A10-7850B,148.02,4,3.7,4,Steamroller,95,Radeon R7 (on-die)
AMD Athlon X4 840,,4,3.1,3.8,Steamroller,65,
Intel Pentium G3250T,,2,2.8,,Haswell Refresh,35,Intel HD Graphics
Intel Xeon E5-2620 V3,149.94,6,2.4,3.2,Haswell,85,
Intel Xeon E5-2650L V3,,12,1.8,2.5,Haswell,65,
Intel Xeon E3-1270 V3,,4,3.5,3.9,Haswell,80,
Intel Core i5-4670S,,4,3.1,3.8,Haswell,65,Intel HD Graphics 4600
Intel Core i5-5675C,,4,3.1,3.6,Broadwell,65,Iris Pro Graphics 6200
Intel Pentium G4520,,2,3.6,,Skylake,51,Intel HD Graphics 530
Intel Pentium G4400T,,2,2.9,,Skylake,35,Intel HD Graphics 510
AMD Opteron 6328,,8,3.2,3.8,Piledriver,115,
AMD Athlon X4 880K,,4,4,4.2,Steamroller,95,
Intel Core i3-7300,,2,4,,Kaby Lake,51,Intel HD Graphics 630
Intel Core i3-7350K,,2,4.2,,Kaby Lake,60,Intel HD Graphics 630
Intel Pentium G4620,224.12,2,3.7,,Kaby Lake,51,Intel HD Graphics 630
Intel Core i3-7300T,,2,3.5,,Kaby Lake,35,Intel HD Graphics 630
Intel Xeon E5-2450V2,,8,2.5,3.3,Ivy Bridge,95,
Intel Xeon E5-2470V2,,10,2.4,3.2,Ivy Bridge,95,
Intel Xeon E3-1240 V6,429.95,4,3.7,4.1,Kaby Lake,72,
Intel Xeon E3-1220 V6,249.95,4,3,3.5,Kaby Lake,72,
Intel Xeon E3-1225 V6,355.29,4,3.3,3.7,Kaby Lake,73,Intel HD Graphics P630
Intel Xeon E3-1225 V6,369.51,4,3.3,3.7,Kaby Lake,73,Intel HD Graphics P630
Intel Core i5-3550S,,4,3,3.7,Ivy Bridge,65,Intel HD Graphics 2500
Intel Core i3-4360,,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4600
Intel Xeon E5-2665,,8,2.4,3.1,Sandy Bridge,115,
Intel Core i3-9300,,4,3.7,4.3,Coffee Lake Refresh,62,Intel UHD Graphics 630
Intel Core i5-9600,,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630
AMD A6-7480,,2,3.5,3.8,Puma+,65,Radeon R5 (on die)
Intel Xeon E-2144G,,4,3.6,4.5,Coffee Lake,71,Intel HD Graphics P630
Intel Xeon E-2126G,,6,3.3,4.5,Coffee Lake,80,Intel HD Graphics P630
Intel Xeon E-2174G,,4,3.8,4.7,Coffee Lake,71,Intel HD Graphics P630
Intel Xeon E-2236,,6,3.4,4.8,Coffee Lake Refresh,80,
Intel Xeon E-2124,,4,3.3,4.3,Coffee Lake,71,
Intel Xeon E-2124,,4,3.3,4.3,Coffee Lake,71,
Intel Pentium Gold G6500,,2,4.1,,Comet Lake,58,Intel UHD Graphics 630
Intel Xeon E-2176G,,6,3.7,4.7,Coffee Lake,80,Intel HD Graphics P630
Intel Xeon E5-2620,139.94,6,2,,Sandy Bridge,95,
AMD Athlon II X2 245,,2,2.9,,K10,65,
AMD Athlon II X2 250,,2,3,,K10,65,
AMD Athlon II X4 620,,4,2.6,,K10,95,
AMD Phenom II X3 720,,3,2.8,,K10,95,
AMD Phenom II X4 945,,4,3,,K10,125,
AMD Phenom II X6 1055T,,6,2.8,,K10,125,
AMD Athlon II X4 605e,,4,2.3,,K10,45,
AMD Phenom II X4 910e,,4,2.6,,K10,65,
AMD Phenom II X4 955 Black,,4,3.2,,K10,125,
Intel Pentium E2140,,2,1.6,,Core,65,
Intel Core 2 Duo E4500,,2,2.2,,Core,65,
Intel Pentium E5300,79.4,2,2.6,,Wolfdale,65,
Intel Core 2 Duo E6750,,2,2.66,,Core,65,
Intel Core 2 Duo E6850,89.95,2,3,,Core,65,
Intel Core 2 Duo E7600,,2,3.06,,Wolfdale,65,
Intel Core 2 Duo E8300,99.95,2,2.83,,Wolfdale,65,
Intel Core i5-661,80,2,3.33,,Westmere,87,Intel HD Graphics
Intel Core i7-860,189.95,4,2.8,,Nehalem,95,
Intel Core 2 Quad Q8200,,4,2.33,,Yorkfield,95,
Intel Core 2 Quad Q9400S,,4,2.66,,Yorkfield,65,
Intel Core 2 Quad Q9650,,4,3,,Yorkfield,95,
Intel Core 2 Extreme QX9775,,4,3.2,,Yorkfield,150,
AMD Phenom II X2 565 Black,,2,3.4,,K10,80,
AMD Phenom II X4 840,,4,3.2,,K10,95,
AMD Sempron 130,,1,2.6,,K10,45,
Intel Pentium G620T,,2,2.2,,Sandy Bridge,35,Intel HD Graphics
Intel Pentium G860,,2,3,,Sandy Bridge,65,Intel HD Graphics
AMD FX-8120,,8,3.1,,Bulldozer,125,
AMD Athlon II X4 645,,4,3.1,,K10,95,
AMD Phenom II X6 1100T Black,,6,3.3,,K10,125,
AMD Athlon II X4 641,,4,2.8,,Lynx,100,
Intel Xeon E3-1220,,4,3.1,,Sandy Bridge,80,
Intel Xeon E3-1230,918.89,4,3.2,,Sandy Bridge,80,
Intel Xeon E3-1235,,4,3.2,,Sandy Bridge,95,Intel HD Graphics
Intel Xeon E3-1270,,4,3.4,,Sandy Bridge,80,
Intel Xeon E3-1280,,4,3.5,,Sandy Bridge,95,
Intel Core i5-3340S,,4,2.8,3.3,Ivy Bridge,65,Intel HD Graphics 2500
Intel Xeon E5-2603,98.95,4,1.8,,Sandy Bridge,80,
Intel Xeon E5-2609,89.95,4,2.4,,Sandy Bridge,80,
AMD A6-6420K,,2,4,4.2,Piledriver,65,Radeon HD 8000 Series
AMD A4-4020,,2,3.2,3.4,Piledriver,65,Radeon HD 7480D
AMD A10-6800B,,4,4.1,4.4,Piledriver,100,Radeon HD 8670D
AMD A4-3300,,2,2.5,,Lynx,65,Radeon HD 6410D
AMD A4-4000,,2,3,,Piledriver,65,Radeon HD 7480D
AMD FX-4200,,4,3.3,,Bulldozer,125,
Intel Xeon E5-1660 V2,,6,3.7,4,Ivy Bridge,130,
AMD FX-8370,,8,4,4.3,Piledriver,125,
AMD Pro A4-7300B,,2,3.8,4,Piledriver,65,Radeon HD 8470D
AMD Athlon X2 450,,2,3.5,3.9,Steamroller,65,
AMD Phenom II X4 B99,,4,3.3,,K10,95,
Intel Xeon E5-2609 V3,,6,1.9,,Haswell,85,
Intel Xeon E5-2603 V3,,6,1.6,,Haswell,85,
Intel Xeon E5-2630 V3,,8,2.4,3.2,Haswell,85,
Intel Xeon E5-2650 V3,,10,2.3,3,Haswell,105,
Intel Xeon E3-1230 V2,189.95,4,3.3,,Ivy Bridge,69,
Intel Xeon E3-1275 V2,374,4,3.5,,Ivy Bridge,77,Intel HD Graphics P4000
Intel Core i3-3240,,2,3.4,,Ivy Bridge,55,Intel HD Graphics 2500
Intel Xeon E3-1245 V3,,4,3.4,3.8,Haswell,84,Intel HD Graphics P4600
Intel Xeon E5-2630 V2,,6,2.6,3.1,Ivy Bridge,80,
AMD A10-7870K,,4,3.9,4.1,Steamroller,95,Radeon R7 (on-die)
Intel Core i3-6300T,,2,3.3,,Skylake,35,Intel HD Graphics 530
